商品名称,商品价格,评论总数,好评率,评论热词,商品id
宏碁(Acer)新蜂鸟Fun 14英寸笔记本电脑 学生商务办公窄边框轻薄便携手提本 樱花粉(i5-1135G7-16G-512G),4099.0,1000,0.95,"运行超快,反应灵敏,小巧可爱,轻薄精巧,方便快捷,时尚大气,十分流畅,毫不刺眼,办公足够,音效超棒,画质无暇",10023456636888
京品电脑联想ThinkPad E15 2021款 酷睿版 英特尔酷睿i5/i7 轻薄笔记本电脑 人脸识别 i5-1135G7 16G 512G 1SCD,5199.0,5000,0.96,"运行稳定,反应灵敏,十分大气,运行超快,大气稳重,简洁大方,方便快捷,倍感舒适,使用顺手,操作方便,质量上乘",10026505315633
戴尔笔记本电脑dell灵越5409高色域全面屏超轻薄性能商务办公本(11代i5-1135G7 16G 512G 锐炬显卡)薄荷银,4499.0,50000,0.93,"运行速快,轻薄精巧,反应灵敏,十分大气,运行超快,散热超快,方便快捷,简洁大方,质量上乘,倍感舒适,简单方便",100008878867
小米红米RedmiBook Pro 14 锐龙版R5-5500U 16GB 512GB  2.5K超视网膜全面屏 金属高色域轻薄笔记本电脑 ,4499.0,20000,0.93,"轻薄精巧,方便快捷,做工一流,反应灵敏,运行超快,时尚大气,倍感舒适,十分流畅,手感一流,质量上乘,运行安静",100011526087
京品电脑戴尔笔记本电脑dell灵越3501 15.6英寸高性能商务全面屏办公轻薄本(11代i5-1135G7 16G 512G MX330 2G),4799.0,50000,0.93,"运行稳定,反应灵敏,运行超快,十分大气,简洁大方,散热超快,轻薄精巧,方便快捷,简单方便,质量上乘,倍感舒适",100016777696
京品电脑惠普(HP)战66四代 锐龙版 14英寸轻薄笔记本电脑(Zen3架构 6核 R5-5600U 16G 512G 400尼特高色域 一年上门),4599.0,200000,0.95,"运行速快,轻薄精巧,反应灵敏,方便快捷,十分大气,运行超快,小巧可爱,散热超快,倍感舒适,简单方便,按键舒服",100018079978
荣耀笔记本 MagicBook X 14 2021 14英寸全面屏轻薄笔记本电脑 （i3 10110U 8GB 256GB多屏协同）冰河银,3299.0,10000,0.95,"时尚大气,十分流畅,轻薄精巧,方便快捷,运行超快,高端大气,倍感舒适,声音清亮,柔软顺滑,简单方便,操作方便",100021400870
京东超市联想（Lenovo）小新Air15 2021款15.6英寸 全面屏超轻薄笔记本电脑 i5-1135G7 16G 512G MX450 高色域 独立数字小键盘 银色,5566.0,10000,0.94,"运行速快,反应灵敏,轻薄精巧,十分大气,简洁大方,运行超快,散热超快,方便快捷,简单方便,倍感舒适,超长续航",10023022979139
京品电脑联想ThinkBook 14 2021款 酷睿版 英特尔酷睿i7 14英寸轻薄笔记本(i7-1165G7 16G 512G MX450独显 高色域),6499.0,100000,0.94,"运行超快,十分大气,轻薄精巧,反应灵敏,简洁大方,方便快捷,散热超快,启动快速,毫不刺眼,倍感舒适,运行安静",100009087895
京品电脑RedmiBook 14 二代 锐龙版 超轻薄 全面屏(6核R5-4500U 16G 512G SSD)银 手提 笔记本电脑 小米 红米,3999.0,20000,0.93,"轻薄精巧,方便快捷,时尚大气,小巧可爱,运行超快,简单方便,十分流畅,倍感舒适,功能齐全,毫不累眼,超长续航",100013155822
京品电脑惠普(HP)战66四代 锐龙版15.6英寸轻薄笔记本电脑(Zen3架构 8核 R7-5800U 16G 512G 400尼特高色域 一年上门),4899.0,200000,0.95,"运行速快,十分大气,轻薄精巧,运行超快,方便快捷,散热超快,简洁大方,倍感舒适,反应灵敏,简单方便,运行安静",100018083778
戴尔笔记本电脑dell灵越5409高色域全面屏超轻薄性能商务办公本(11代i7-1165G7 16G 512G 锐炬显卡)薄荷银,5499.0,50000,0.93,"运行稳定,轻薄精巧,十分大气,反应灵敏,运行超快,小巧可爱,散热超快,简单方便,倍感舒适,质量上乘,方便快捷",100015736898
惠普（HP）战66 四代 14英寸轻薄笔记本电脑（英特尔酷睿11代i5 16G 512G MX450 高色域 一年上门+意外）,5399.0,100000,0.94,"运行速快,轻薄精巧,运行超快,方便快捷,十分大气,简洁大方,散热超快,倍感舒适,简单方便,质量上乘,按键舒服",100015691164
联想小新Air15轻薄本 英特尔酷睿i5 15.6英寸全面屏学生笔记本电脑 (i5-1135G7 16G 512G MX450独 高色域)银,5499.0,200000,0.91,"运行速快,十分大气,轻薄精巧,简洁大方,运行超快,散热超快,方便快捷,倍感舒适,质量上乘,简单方便,超长续航",100016086218
联想小新Air15 2021超轻薄笔记本电脑 高色域学生办公设计师游戏本 八核锐龙R7-5700U 16G内存 512G固态 升级15.6英寸IPS全面屏【DC调光护眼无闪烁】,5599.0,50000,0.98,"运行速快,十分大气,反应灵敏,轻薄精巧,运行超快,简洁大方,方便快捷,散热超快,倍感舒适,简单方便,质量上乘",33950552707
联想(Lenovo)小新Air15 2021锐龙版全面屏办公轻薄笔记本电脑(8核R7-4800U 16G 512G 100%sRGB 高色域)深空灰,4999.0,100000,0.94,"运行速快,散热超快,反应灵敏,轻薄精巧,运行超快,十分大气,简洁大方,方便快捷,倍感舒适,简单方便,质量上乘",100008699547
Apple MacBook Pro 13.3 新款八核M1芯片 16G 512G SSD 深空灰 笔记本电脑 轻薄本 Z11C,12699.0,20000,0.94,"运行稳定,十分大气,反应灵敏,十分流畅,时尚大气,质量上乘,轻薄精巧,柔软顺滑,节能降耗,便于上手,功能强大",100016724434
京品电脑华硕(ASUS) VivoBook15 2021版 11代英特尔酷睿i5 15.6英寸轻薄笔记本电脑(i5-1135G7 16G 512G 锐炬显卡)银,4399.0,50000,0.92,"十分大气,运行超快,轻薄精巧,反应灵敏,简洁大方,质量上乘,十分流畅,流畅度佳,手感一流,方便快捷,办公足够",100011269283
联想小新Air15英特尔酷睿i5 15.6英寸全面屏轻薄笔记本电脑 (i5-1155G7 16G 512G 高色域 70Wh电池 小键盘)银,5099.0,200000,0.91,"运行超快,时尚大气,轻薄精巧,十分流畅,十分大气,倍感舒适,手感十足,办公足够",100021802484
联想小新Air14轻薄本 英特尔酷睿i5 14英寸全面屏学生笔记本电脑(i5-1135G7 16G 512G MX450独显 高色域)银,5299.0,200000,0.91,"运行稳定,轻薄精巧,反应灵敏,十分大气,运行超快,方便快捷,散热超快,小巧可爱,质量上乘,倍感舒适,超长续航",100016049442
京品电脑联想ThinkPad E14锐龙版(1TCD)2020新款 轻薄笔记本电脑(7nm 6核R5 16G双通道 512GSSD 双面金属 FHD),4299.0,20000,0.94,"运行稳定,反应灵敏,轻薄精巧,方便快捷,十分大气,运行超快,简单方便,质量上乘,简洁大方,散热超快,超长续航",100007233381
京品电脑小米 Redmi G 轻薄游戏本 16.1英寸 (第十代英特尔酷睿i5-10200H 16G 512G PCIe GTX 1650 100%sRGB 暗影黑),4799.0,100000,0.93,"运行速快,十分大气,十分酷炫,反应灵敏,游戏性能强,简洁大方,倍感舒适,运行安静,质量上乘,办公足够,超长续航",100014648538
京品电脑联想笔记本电脑 ThinkBook 14 锐龙版 2021款 14英寸轻薄笔记本(7nm 六核 R5 5600U 16G 512G 高色域 长续航),4299.0,20000,0.94,"运行稳定,反应灵敏,轻薄精巧,做工一流,方便快捷,运行超快,小巧玲珑,办公足够,倍感舒适,功能强大,超长续航",100021781178
惠普(HP)战66四代 14英寸轻薄笔记本电脑(英特尔酷睿11代i5 16G 512G 400尼特高色域 一年上门+意外 2年电池),4799.0,100000,0.94,"运行速快,轻薄精巧,运行超快,十分大气,反应灵敏,方便快捷,简洁大方,简单方便,倍感舒适,散热超快,质量上乘",100016756050
惠普（HP）星14/星15青春版【新11代酷睿2021款】14英寸窄边框轻薄便携学生办公笔记本电脑 星14青春i3 1115G4 8G 256G/标配 /intel UMA显卡/静谧银,3588.0,2000,0.98,"运行快速,运行超快,尺寸合适,简约时尚,灵敏顺畅,流畅度佳,轻薄精巧,倍感舒适",10030112541090
京品电脑惠普(HP)星15 青春版 15.6英寸轻薄窄边框笔记本电脑(R7-4700U 16G 512GSSD UMA FHD IPS)银,3999.0,20000,0.92,"运行速快,轻薄精巧,十分大气,反应灵敏,散热超快,运行超快,方便快捷,简洁大方,简单方便,倍感舒适,办公足够",100014662878
RedmiBook Pro 15 轻薄本(i5-11300H 16G 512G PCIE MX450 3.2K 90Hz超视网膜全面屏) 红米小米笔记本电脑,5499.0,20000,0.92,"运行稳定,做工一流,反应灵敏,散热超快,轻薄精巧,运行超快,十分大气,倍感舒适,手感一流,运行安静,质量上乘",100010434227
联想小新AIR14 锐龙版R5六核 2021新款 高色域手提学生轻薄本办公商务超薄笔记本电脑游戏本 新锐定制丨R3-4300U 8G 512G固态,3999.0,50000,0.94,"运行稳定,方便快捷,反应灵敏,轻薄精巧,小巧可爱,运行超快,十分大气,散热超快,操作方便,质量上乘,倍感舒适",47878949717
华硕(ASUS) VivoBook15 X 十一代英特尔酷睿i5 15.6英寸轻薄笔记本电脑(i5-1135G7 16G 512G 2G独显)黑,4499.0,50000,0.92,"运行速快,反应灵敏,十分大气,轻薄精巧,运行超快,质量上乘,时尚大气,方便快捷,倍感舒适,散热超快,办公足够",100008824525
京品电脑惠普（HP）战66 四代 14英寸轻薄笔记本电脑（英特尔酷睿11代i5 16G 512G MX450 高色域 一年上门+意外）,5399.0,100000,0.94,"运行速快,轻薄精巧,运行超快,方便快捷,十分大气,简洁大方,散热超快,倍感舒适,简单方便,质量上乘,按键舒服",100015691164
联想ThinkPad T14 锐龙Pro 7纳米八核14英寸轻薄商务办公笔记本电脑 04CD｜R7-4750U FHD高清屏 16G内存 512G固态 标配,6599.0,58,1.0,"运行超快,运行快速,轻薄精巧,简约时尚,质量上乘,散热超快,亮度均匀,效果惊艳,美观大方,超长待机,加载很快",10031473113222
京品电脑宏碁(Acer)非凡S3超轻薄本 全新升级 14英寸办公笔记本电脑 高色域 Evo认证（11代酷睿i5 16G 512G 雷电4）银,4399.0,5000,0.98,"运行稳定,轻薄精巧,运行超快,反应灵敏,方便快捷,做工一流,简单方便,简洁大方,超长续航,散热超快,办公足够",100018725930
笔记本电脑轻薄超级本 学生网上课堂电脑 远程办公本 得峰电脑 2021款十代全尺寸黑键盘J4125/12G内存 力荐M2高速SSD256G固态硬盘,1799.0,50000,0.97,"运行速快,反应灵敏,运行超快,十分大气,做工一流,颜值颇高,结实耐用,方便快捷,简单方便,倍感舒适,质量上乘",64488009826
京品电脑惠普(HP)战66四代 锐龙版15.6英寸轻薄笔记本电脑(Zen3架构 6核 R5-5600U 16G 512G 400尼特高色域 一年上门),4599.0,200000,0.95,"运行稳定,反应灵敏,轻薄精巧,十分大气,运行超快,简洁大方,方便快捷,倍感舒适,简单方便,散热超快,运行安静",100010242577
攀升MaxBook P1 15.6英寸英特尔4核学生网课商务办公轻薄笔记本电脑（10代J4125 8G 256G 金属机身）2021新款,2399.0,10000,0.97,"运行稳定,反应灵敏,十分大气,运行超快,简单方便,方便快捷,轻薄精巧,时尚大气,功能齐全,倍感舒适,散热超快",100016948626
京品电脑惠普（HP）战66 四代 15.6英寸轻薄笔记本电脑（i7-1165G7 16G 512G MX450 2G独显  高色域  一年上门+意外）,6199.0,100000,0.94,"运行稳定,轻薄精巧,反应灵敏,十分大气,运行超快,简洁大方,方便快捷,散热超快,倍感舒适,简单方便,毫不刺眼",100015759008
联想ThinkPad X1 Carbon 2021 超级本 14英寸超轻薄笔记本电脑 11代酷睿 i7 16G 1T高速固态Win10【03CD】  16:10微边全视屏 支持4G 高色域,14019.0,5000,0.99,"质量上乘,便于携带",10030166044769
联想ThinkPad 翼14 Slim（39CD）英特尔酷睿i3 14英寸轻薄笔记本电脑（i3-10110U 8G 256GSSD FHD）银,3599.0,100000,0.93,"运行速快,方便快捷,反应灵敏,十分大气,简单方便,轻薄精巧,运行超快,简洁大方,质量上乘,散热超快,倍感舒适",100008282629
京品电脑华硕a豆 Redolbook14 英特尔酷睿i5 高性能轻薄本 商务办公笔记本电脑(i5-1135G7 16G 512G 低蓝光护眼屏)银,3999.0,5000,0.93,"运行稳定,轻薄精巧,十分大气,方便快捷,运行超快,小巧可爱,简单方便,办公足够,质量上乘,散热超快,倍感舒适",100010198657
京品电脑宏碁(Acer)暗影骑士·龙 15.6英寸游戏笔记本电脑(新锐龙7nm 8核R7-5800H 16G 512G RTX3060 144Hz高色域)红黑,8699.0,5000,0.97,"运行稳定,反应灵敏,霸气侧漏,十分大气,游戏性能强,运行超快,简洁大方,散热超快,倍感舒适,运行安静,按键舒服",100010286615
联想笔记本电脑 ThinkBook 14 锐龙版 2021款 14英寸轻薄笔记本(7nm 六核 R5 5500U 16G 512G 高色域 长续航),4199.0,20000,0.94,"运行稳定,反应灵敏,轻薄精巧,时尚大气,十分大气,运行超快,方便快捷,毫不刺眼,音效超棒,倍感舒适,超长续航",100019890000
京品电脑惠普（HP）战66 四代 14英寸轻薄笔记本电脑（英特尔酷睿11代i7 16G 512G MX450  高色域 一年上门+意外）,6199.0,100000,0.94,"运行稳定,轻薄精巧,反应灵敏,十分大气,运行超快,方便快捷,简洁大方,倍感舒适,散热超快,质量上乘,功能强大",100015691166
联想ThinkPad P15V 移动图形工作站 高端设计编程建模商务游戏图站IBM笔记本电脑 轻薄本 04CDi7-10750H 8G 512G 高清 升级至：32内存 1TB高速固态,9999.0,1000,0.97,"运行超快,运行快速,十分大气,轻薄精巧,时尚大气,功能强大,流畅度佳",10021811536466
京品电脑华硕无畏Pro14 标压锐龙版 2.8K OLED屏轻薄笔记本电脑(R7-5800H 16G 512G 133%sRGB高色域 600尼特 90Hz)银,5499.0,5000,0.96,"运行稳定,轻薄精巧,反应灵敏,通透清晰,十分大气,方便快捷,十分流畅,效果惊艳,手感一流,倍感舒适,简单方便",100021150248
京品电脑惠普（HP）战66 四代 15.6英寸轻薄笔记本电脑（英特尔酷睿11代i5 16G 512G MX450  高色域 一年上门+意外）,5199.0,100000,0.94,"运行速快,轻薄精巧,运行超快,反应灵敏,十分大气,简洁大方,方便快捷,散热超快,倍感舒适,简单方便,功能齐全",100008893813
京品电脑戴尔DELL灵越7000 15.6英寸高性能轻薄设计师本商务笔记本电脑(十代i7 16G 512G GTX1650 高色域全面屏),6999.0,20000,0.91,"运行速快,十分大气,反应灵敏,轻薄精巧,简洁大方,方便快捷,运行超快,散热超快,倍感舒适,质量上乘,简单方便",100007152001
机械师T58-V 144Hz全面屏游戏本11代i7-11800H八核RTX3050独显笔记本电脑 加强版16G/512G PCIE高速固态,6969.0,10000,0.99,"反应灵敏,运行超快,十分大气,十分流畅,十分酷炫,简单方便,散热超快,倍感舒适,做工一流,质量上乘,音效超棒",10030493404006
戴尔（DELL）2021款灵越3501 15.6英寸11代商务办公学习笔记本电脑 i7-1165G7 锐炬显卡 16G/512G固态 定制,5599.0,1000,0.94,"简单大方,运行速快,屏幕超大,运行超快,音效超棒,方便快捷,精致美观,网速极佳",10026124214222
联想ThinkPad  E14 AMD锐龙版 14英寸商务办公轻薄笔记本电脑 R5 5600U 16G 512G 07CD,5199.0,2000,0.96,,10031419307899
京品电脑联想小新Pro13 高性能轻薄本 英特尔酷睿i5 13.3英寸全面屏学生笔记本电脑(i5-1135G7 16G 512G MX450 )银,5999.0,200000,0.91,"小巧可爱,反应灵敏,方便快捷,轻薄精巧,十分大气,散热超快,运行超快,质量上乘,操作方便,运行安静,十分流畅",100017826740
京品电脑华硕a豆 Redolbook14 英特尔酷睿i3 高性能轻薄本 商务办公笔记本电脑(i3-1115G4 8G 512G 低蓝光 护眼屏)银,3299.0,500,0.98,"运行稳定,十分流畅,轻薄精巧,十分大气,轻薄易携,散热超快,简单方便,手感十足,质量上乘,方便快捷,倍感舒适",100022082610
联想小新AIR14 锐龙版R5六核 2021新款 高色域手提学生轻薄本办公商务超薄笔记本电脑游戏本 高色域旗舰R5-5500U 16G 512G固态,4999.0,50000,0.94,"运行速快,反应灵敏,方便快捷,运行超快,小巧可爱,轻薄精巧,散热超快,十分大气,结实耐用,简单方便,功能强大",47878949722
京品电脑联想笔记本ThinkBook 14p AMD锐龙标压 14英寸高性能轻薄本 全面屏(R7-5800H 16G 512G 16:10 2.2K高色域),5899.0,10000,0.94,"运行稳定,轻薄精巧,做工一流,运行超快,运行速快,大气稳重,简单方便,柔软顺滑,轻巧方便,毫不刺眼,指纹灵敏",100021782482
funhouse2021新款 十代英特尔酷睿i5四核15.6英寸轻薄商务学习办公娱乐学生笔记本电脑 (JD物流）套餐一intel四核-8G-256G,1699.0,1000,0.98,"运行超快,反应灵敏,十分大气,流畅度佳,轻薄精巧,简单方便,方便快捷,尺寸合适,办公足够,质量上乘,网速极佳",10026425107662
联想(Lenovo)扬天 S15 锐龙版 15.6英寸轻薄笔记本电脑(7nm 六核 R5 5500U 16G 512G 高色域 长续航),4399.0,10000,0.93,,100011633639
联想小新Pro14 2021款标压酷睿11代i5全金属超薄本 14英寸高色域2.2K全面屏笔记本电脑 标配i5-11300H 16G 512G固态 锐钜Xe高性能显卡丨低蓝光护眼屏丨人脸识别,5799.0,5000,0.99,"运行稳定,轻薄精巧,反应灵敏,运行超快,方便快捷,十分大气,简洁大方,超长续航,结实耐用,简单方便,散热超快",10026256371234
京品电脑惠普(HP)战99 AMD锐龙 15.6英寸高性能笔记本设计师本工作站(R7-5800H 16G 512SSD T600 4G独显 高色域),6999.0,10000,0.96,"运行速快,十分大气,运行超快,反应灵敏,简洁大方,散热超快,做工一流,方便快捷,倍感舒适,质量上乘,简单方便",100021318606
京品电脑ROG魔霸新锐 2021款 15.6英寸240Hz液金导热 可发光LOGO 游戏本笔记本电脑(新锐龙超频版8核R9-5900HX 16G 512G RTX3060 130W),9999.0,50000,0.97,"运行稳定,造型养眼,十分大气,做工一流,运行超快,倍感舒适,质量上乘,运行安静,按键舒服,亮度均匀,柔软顺滑",100018276690
京品电脑戴尔笔记本电脑dell灵越15-5509 英特尔酷睿i5 15.6英寸高色域全面屏超轻薄商务本(11代i5 16G 512G)星空灰,4999.0,50000,0.93,"运行稳定,十分流畅,轻薄精巧,十分大气,方便快捷,时尚大气,简单方便,倍感舒适,质量上乘,运行安静,按键舒服",100015839608
联想(Lenovo)小新Pro14标压锐龙版全面屏轻薄笔记本电脑(6核12线程R5-5600H 16G 512G 2.2K 低蓝光 护眼屏),5299.0,100000,0.94,"轻薄精巧,反应灵敏,方便快捷,做工一流,十分流畅,轻薄易携,散热超快,运行超快,柔软顺滑,识别灵敏,网速极佳",100019549520
惠普（HP）星14/15青春版【11代酷睿】笔记本手提电脑15.6英寸超轻薄学生办公商务游戏本 i5-1135G7【锐炬核显】14寸高清屏 标配一：16G/512G固态【标配】,4288.0,20000,0.97,"运行超快,反应灵敏,轻薄精巧,十分大气,散热超快,方便快捷,简洁大方,毫不刺眼,十分流畅,质量上乘,功能强大",60185181571
RedmiBook Pro 15 轻薄本(11代酷睿i7-11370H 16G 512G PCIE MX450 3.2K 90Hz全面屏)红米小米笔记本电脑,6299.0,20000,0.92,"十分流畅,运行超快,触感一流,做工一流,时尚大气,功能丰富,轻薄精巧,质量上乘,方便快捷,倍感舒适,亮度均匀",100018725896
联想小新15 2021锐龙版15.6英寸大屏学生轻薄笔记本电脑六核R5-5500U 8G 512固态,4299.0,5000,0.97,"反应灵敏,轻薄精巧,运行超快,方便快捷,简洁大方,散热超快,低调奢华,办公足够,简单方便,按键舒服,十分流畅",10081221177
联想（Lenovo)旗舰店拯救者R7000 15.6英寸吃鸡游戏笔记本电脑锐龙六核R5 标配六核R5-4600H/16G内存/512G固态  4G独显  100%sRGB,6499.0,20000,0.96,"运行速快,反应灵敏,十分大气,十分流畅,简洁大方,十分酷炫,简单方便,质量上乘,倍感舒适,方便快捷,手感舒适",35374530423
联想小新Pro14 2021新款14英寸2.2K超清屏轻薄笔记本电脑标压酷睿11代i5-11300H 16G内存 512G高速固态 标配版 100%sRGB 高色域 全面屏,5799.0,20000,0.98,"轻薄精巧,运行超快,反应灵敏,十分大气,方便快捷,流畅度佳,时尚大气,简单方便,散热超快,质量上乘,倍感舒适",10028449387829
联想笔记本ThinkPad P15v(02CD)英特尔酷睿 15.6英寸高性能本设计师工作站(i7-10750H 16G 512G P620 4G独显),8499.0,10000,0.93,"运行稳定,散热超快,反应灵敏,十分大气,运行超快,简洁大方,轻薄精巧,质量上乘,方便快捷,倍感舒适,功能齐全",100008090199
戴尔DELL成就13.3英寸全面屏英特尔EVO轻薄商务笔记本电脑(标压i5-11300H 16G 512G 2.5K护眼屏)橄榄灰,5599.0,10000,0.91,"运行稳定,轻薄精巧,小巧可爱,十分大气,方便快捷,散热超快,稳定性佳,操作方便,质量上乘,处理迅速,倍感舒适",100019737370
联想笔记本电脑小轻薄IdeaPad14s 2021新锐龙R5 14英寸全面屏高性能游戏办公本 六核新R5-5500U 8G 256G固态旗舰推荐 IPS全面屏全高清 送office办公套装 皓月银,3699.0,10000,0.97,"十分流畅,轻薄精巧,简单方便,运行超快,简洁大方,十分大气,功能齐全,够大够清晰,方便快捷,使用顺手,散热超快",10024763649796
联想（Lenovo）小新Air15 2021款超轻薄办公游戏笔记本电脑 新锐龙R7-5700U八核 16G内存 512G高速固态 标配版 100%sRGB 高色域 全面屏,5699.0,50000,0.98,"反应灵敏,时尚大气,轻薄精巧,运行超快,高端大气,流畅度佳,简单方便,手感一流,倍感舒适,毫不刺眼,操作方便",10030459278343
京东超市荣耀笔记本电脑MagicBook X 14 2021款 轻薄本手提商务办公超薄超级本华为多屏协同 银｜i3-10110U 8GB 256GB 官方标配,3299.0,500,0.98,"轻薄精巧,反应灵敏,简单方便,简洁大方,做工一流,运行超快,功能齐全,质量上乘,方便快捷,运行安静,办公足够",10030494224178
联想(Lenovo)2021新款小新Air 14英寸六核锐龙R5-5500U高性能轻薄笔记本电脑 定制六核R5-5500U/8G内存/ 512G固态 深空灰,4299.0,50000,0.98,"运行稳定,反应灵敏,小巧可爱,方便快捷,运行超快,轻薄精巧,十分大气,简单方便,散热超快,倍感舒适,质量上乘",36324360011
联想小新Air15锐龙版R7 15.6英寸大屏高性能八核家用办公学生网课学习游戏轻薄商务笔记本电脑 R7-5700U八核/16G/512G｜标配 带office,5299.0,10000,0.98,"运行速快,反应灵敏,运行超快,轻薄精巧,十分大气,简洁大方,方便快捷,散热超快,简单方便,倍感舒适,质量上乘",70018779303
联想笔记本电脑V14 小新品超轻薄六核R5 14.0英寸商务办公学生设计网课学习电脑 定制R5-5500U 16G内存 512G固态 满血显卡 高清屏 星空灰,4199.0,1000,0.99,质量上乘,10031062069652
联想笔记本ThinkPad T14(04CD)AMD 锐龙Pro 14英寸高性能轻薄本商务办公(8核 R7 PRO-4750U 16G 512G 指纹),6299.0,10000,0.92,"运行速快,反应灵敏,轻薄精巧,散热超快,方便快捷,运行超快,简洁大方,简单方便,十分大气,运行安静,手感一流",100007800767
联想笔记本电脑ThinkPad X1 Nano 英特尔Evo平台 13英寸 11代酷睿i7 16G 512G 高色域 /16:10微边框2K,10999.0,20000,0.92,"轻薄精巧,反应灵敏,小巧可爱,方便快捷,十分流畅,十分大气,运行超快,质量上乘,手感一流,倍感舒适,运行安静",100009641633
京品电脑联想YOGA 13s 2021款 锐龙版 13.3英寸全面屏超轻薄笔记本电脑(6核 R5-5600U 16G 512G 2.5K高色域屏)深空灰,5299.0,100000,0.94,"轻薄精巧,小巧玲珑,方便快捷,做工一流,运行超快,手感一流,简单方便,运行安静,倍感舒适,节能降耗,手感舒适",100022002312
联想笔记本电脑 ThinkBook 15 锐龙版 2021款 15.6英寸轻薄本 (7nm 八核 R7 5700U 16G 512G 高色域 长续航),4599.0,20000,0.93,"时尚大气,运行速快,简洁大方,运行超快,高端大气,质量上乘,倍感舒适,方便快捷,散热超快",100011175663
酷睿i7+独显/15.6英寸十代高配金属笔记本电脑轻薄本商务大学生上网课IRU超薄便携超极游戏本手提 十代四核英特尔J4115 8G内存/256G固态硬盘,2199.0,10000,1.0,"运行超快,十分流畅,反应灵敏,十分大气,轻薄精巧,使用顺手,轻薄易携,散热超快,手感一流",10026619772341
